TAB	MESSAGE	SW-MESSAGE
expdfrep	🧮 Rec % = recovered ÷ initial. Daily measures against that day's initial deck; weekly against Monday's.	🧮 Rec % = kilichorejeshwa ÷ deni la awali. Ya kila siku hupima dhidi ya orodha ya awali ya siku hiyo; ya wiki dhidi ya Jumatatu.
expdfrep	✉️ The email button sends THIS week's report to the admin address — only when you press it, never on a schedule.	✉️ Kitufe cha barua pepe hutuma ripoti ya WIKI HII kwa anwani ya admin — pale unapobofya tu, si kwa ratiba.
expdfrep	📱 The same list is on the phone: officers see who is assigned, leaders see their own book first.	📱 Orodha hiyohiyo iko kwenye simu: maafisa huona nani amepangiwa, viongozi huona orodha yao kwanza.
followup	📱 Click any defaulter to see their full history and log a status.	📱 Bofya mdaiwa yeyote kuona historia yake kamili na kuandika hali.
followup	🤝 AMETOA AHADI requires a promise date — the promise then appears automatically in Promise to Pay.	🤝 AMETOA AHADI inahitaji tarehe ya ahadi — kisha ahadi huonekana kiotomatiki kwenye Promise to Pay.
followup	📵 ANA NAMBA NYINGINE stores the customer's new number so the next officer reaches them.	📵 ANA NAMBA NYINGINE huhifadhi namba mpya ya mteja ili afisa anayefuata amfikie.
followup	🧾 History is kept forever per REF# — every officer's comment stays with the customer, visible to everyone.	🧾 Historia huhifadhiwa milele kwa kila REF# — maoni ya kila afisa hubaki na mteja, yanaonekana kwa kila mtu.
followup	📤 This list is rebuilt every time you upload Defaulters Current — what officers typed is never overwritten.	📤 Orodha hii hujengwa upya kila unapopakia Defaulters Current — kile maafisa walichoandika hakifutwi kamwe.
promises	🤝 Every AMETOA AHADI follow-up lands here automatically, with its promise date and amount.	🤝 Kila ufuatiliaji wa AMETOA AHADI huja hapa kiotomatiki, pamoja na tarehe ya ahadi na kiasi.
promises	📅 Overdue promises sort first — follow them before anything else.	📅 Ahadi zilizopitwa na wakati hupangwa kwanza — zifuatilie kabla ya kitu kingine.
promises	✅ CLEARED means the customer no longer appears in the current defaulters list — the promise was kept.	✅ CLEARED inamaanisha mteja hayupo tena kwenye orodha ya wadaiwa wa sasa — ahadi ilitimizwa.
promises	💰 "Arrears before" beside "Arrears now" is how you see whether a promise was actually kept.	💰 "Deni kabla" pamoja na "Deni sasa" ndiyo njia ya kuona kama ahadi ilitimizwa kweli.
fureport	🧑‍💼 The matrix counts follow-ups per officer, split by status — daily proof of field and call work.	🧑‍💼 Jedwali huhesabu ufuatiliaji kwa kila afisa, kwa hali — uthibitisho wa kila siku wa kazi ya uwandani na simu.
fureport	📋 Under the summaries is the LOG — every individual follow-up. The counts are only an index into it.	📋 Chini ya muhtasari kuna KUMBUKUMBU — kila ufuatiliaji mmoja mmoja. Hesabu ni njia ya kuufikia tu.
fureport	📅 Change From/To to audit any period, then filter by team, officer or status.	📅 Badilisha From/To kukagua kipindi chochote, kisha chuja kwa timu, afisa au hali.
abnormal	🚩 Payments that are not clean multiples of TZS 500 / 1,000 are flagged automatically from every Received Payments upload.	🚩 Malipo yasiyo mafungu kamili ya TZS 500 / 1,000 huwekewa alama kiotomatiki kutoka kila upakiaji wa Received Payments.
abnormal	🔍 Verify each flagged transaction with the field officer — the sender name and transaction ID are shown.	🔍 Thibitisha kila muamala uliowekwa alama na afisa wa uwandani — jina la mtumaji na namba ya muamala huonyeshwa.
legal	⚖️ Load a defaulter by REF# to preview the fine, principal remaining and total demand before issuing anything.	⚖️ Pakia mdaiwa kwa REF# kuona faini, deni la msingi lililobaki na jumla ya madai kabla ya kutoa chochote.
legal	🧮 The fine starts two weeks after the first missed installment — 2% for loans disbursed in 2024 or earlier, 5% after that.	🧮 Faini huanza wiki mbili baada ya rejesho la kwanza kukosekana — 2% kwa mikopo ya 2024 na kabla, 5% baadaye.
legal	🖨️ Issuing a notice prints the full Swahili demand letter with the company letterhead, stamp and signature.	🖨️ Kutoa notisi huchapisha barua kamili ya madai kwa Kiswahili yenye kichwa, muhuri na sahihi ya kampuni.
legal	🔖 Every notice gets its own reference (Kumb.Na.) — that is how it is cited afterwards in a follow-up or a handover.	🔖 Kila notisi hupata kumbukumbu yake (Kumb.Na.) — ndiyo hutumika baadaye kwenye ufuatiliaji au makabidhiano.
restructure	🔁 Only defaulters with 4+ missed installments (DC) are eligible — rescheduling someone who missed one payment is just a discount.	🔁 Ni wadaiwa wenye marejesho 4+ yaliyokoswa (DC) tu wanaostahili — kumpangia upya aliyekosa rejesho moja ni punguzo tu.
restructure	🧮 Start from the customer's REF#: every figure is computed from their own arrears, never typed by hand.	🧮 Anza na REF# ya mteja: kila tarakimu huhesabiwa kutoka deni lake, si kuandikwa kwa mkono.
restructure	📅 The preview shows the exact weekly schedule, rounded to TZS 500, with the last installment absorbing the rounding.	📅 Muhtasari huonyesha ratiba kamili ya wiki, iliyokadiriwa hadi TZS 500, na rejesho la mwisho hubeba baki.
restructure	✅ Offers stay PENDING until an approver named in Settings approves or rejects them — a rejection must carry a reason.	✅ Ofa hubaki PENDING hadi mwidhinishaji aliyetajwa kwenye Settings aidhinishe au akatae — kukataa lazima kuwe na sababu.
credit	📈 Analysts are scored on their Count 1–6 book (paid fewer than 6 of 12) and on sales — the Overall % judges them.	📈 Wachambuzi hupimwa kwa orodha yao ya Count 1–6 (waliolipa chini ya 6 kati ya 12) na mauzo — Overall % ndiyo huwapima.
credit	🎯 Cleared and Reduced are wins; Bad means arrears rose; Static means nothing changed.	🎯 Cleared na Reduced ni ushindi; Bad inamaanisha deni liliongezeka; Static inamaanisha hakuna kilichobadilika.
credit	🗂️ The portfolio under the scorecard is TODAY's call list — someone who started defaulting on Wednesday appears there.	🗂️ Orodha chini ya alama ni ya simu za LEO — aliyeanza kudaiwa Jumatano huonekana hapo.
reports	🧑‍✈️ One section per supervisory role — a leader's real performance is the roll-up across ALL the teams they carry.	🧑‍✈️ Sehemu moja kwa kila wadhifa — utendaji halisi wa kiongozi ni jumla ya timu ZOTE anazobeba.
reports	👀 Teams with nobody named in a role collect under "(unassigned)" — an unstaffed role is exactly what this should show you.	👀 Timu zisizo na mtu kwenye wadhifa hukusanyika chini ya "(unassigned)" — wadhifa usio na mtu ndicho hasa hii inapaswa kukuonyesha.
weekly	🗓️ The week runs Monday initial → week-end current — upload both for the complete picture.	🗓️ Wiki huanzia Jumatatu ya awali → mwisho wa wiki wa sasa — pakia zote mbili kupata picha kamili.
weekly	📑 Five sections per team: Sales, Count 1–6, Collection, Recovery and Ongezeko la deni.	📑 Sehemu tano kwa kila timu: Mauzo, Count 1–6, Makusanyo, Urejeshaji na Ongezeko la deni.
weekly	➖ Ongezeko la deni: green = debt fell (recovered); red = debt rose during the week.	➖ Ongezeko la deni: kijani = deni lilipungua (limerejeshwa); nyekundu = deni liliongezeka wiki hii.
par	🧮 PAR % = at-risk arrears ÷ outstanding balance of defaulters.	🧮 PAR % = deni lililo hatarini ÷ salio linalodaiwa la wadaiwa.
par	📊 The principal bands show where the overdue money is concentrated by loan size — that is the one the meeting acts on.	📊 Makundi ya mtaji huonyesha wapi fedha za madeni zimejikita kwa ukubwa wa mkopo — ndiyo kikao hufanyia kazi.
par	📅 The ageing bands answer a different question: how LONG each customer has been overdue.	📅 Makundi ya muda hujibu swali jingine: kwa MUDA GANI kila mteja amechelewa.
present	📽️ A full-screen slideshow for the office TV — it plays like PowerPoint and the figures are live, not a screenshot.	📽️ Onyesho la skrini nzima kwa TV ya ofisi — hucheza kama PowerPoint na tarakimu ni za moja kwa moja, si picha.
present	🎯 Untick the segments this meeting does not need, and scope the whole deck to a single team.	🎯 Ondoa sehemu ambazo kikao hiki hakihitaji, na elekeza onyesho lote kwa timu moja.
present	⌨️ Esc exits, ← / → change slides, and the seconds per slide are set right beside the play button.	⌨️ Esc hutoka, ← / → hubadilisha slaidi, na sekunde kwa kila slaidi hupangwa karibu na kitufe cha kucheza.
teams	🧭 Team names here must match the uploaded reports exactly — everything else joins on them.	🧭 Majina ya timu hapa lazima yafanane kabisa na ripoti zilizopakiwa — kila kitu kingine hujiunga navyo.
teams	🔑 The team CODE is what field officers sign in with on the phone. Change it and every handset on that team is released at once.	🔑 MSIMBO wa timu ndio maafisa huingia nao kwenye simu. Ukiubadilisha, simu zote za timu hiyo hukatwa mara moja.
teams	➕ ADMINs can add teams, edit the leader for each role, and edit which tabs each ROLE can see.	➕ ADMIN wanaweza kuongeza timu, kuhariri kiongozi wa kila wadhifa, na kuhariri vichupo ambavyo kila WADHIFA huona.
teams	☎️ Call agents are listed by their agent ID from the application reports — name the people behind each id here.	☎️ Mawakala wa simu huorodheshwa kwa agent ID kutoka ripoti za maombi — taja watu walio nyuma ya kila id hapa.
upload	📤 Pick what you are uploading, then the file — the importer reads the sheet you confirm on screen.	📤 Chagua unachopakia, kisha faili — mfumo husoma karatasi unayothibitisha skrini.
upload	👀 "Already uploaded today" shows what is in and what is still missing — check it BEFORE the meeting, not after.	👀 "Already uploaded today" huonyesha kilichopo na kinachokosekana — angalia KABLA ya kikao, si baada.
upload	♻️ Re-uploading the same date REPLACES it — the newest upload wins and the old copy stays underneath as history.	♻️ Kupakia tena tarehe ileile HUBADILISHA — upakiaji mpya hushinda na wa zamani hubaki chini kama historia.
upload	🕗 Upload Defaulters Current daily. Monday's Initial is the recovery baseline for the whole week.	🕗 Pakia Defaulters Current kila siku. Ya awali ya Jumatatu ndiyo kianzio cha urejeshaji cha wiki nzima.
upload	🔄 Uploading Defaulters Current also rebuilds the officers' working list in the app — nothing they typed is lost.	🔄 Kupakia Defaulters Current pia hujenga upya orodha ya kazi ya maafisa kwenye programu — hakuna walichoandika kinachopotea.
settings	🔑 Access codes work like passwords — each user gets a code, a role, their teams and exactly the tabs they should see.	🔑 Misimbo ya kuingia hufanya kazi kama nywila — kila mtumiaji hupata msimbo, wadhifa, timu zake, na vichupo hasa anavyopaswa kuona.
settings	♻️ A code can be CHANGED at any time — that is how you rotate one that has been shared around.	♻️ Msimbo unaweza KUBADILISHWA wakati wowote — ndiyo njia ya kubadilisha ulioshirikishwa hovyo.
settings	📱 Field officer accounts: switching one off cuts that handset immediately and keeps their call history; deleting removes the history too.	📱 Akaunti za maafisa: kuizima hukata simu hiyo mara moja na kuhifadhi historia; kufuta huondoa na historia.
settings	🧹 "Clean old reports" frees space by date and report type — Check first counts the rows without deleting anything.	🧹 "Kusafisha ripoti za zamani" hufungua nafasi kwa tarehe na aina ya ripoti — Check huhesabu bila kufuta chochote.
settings	💾 The storage tiles show how much the database holds and how fast it is growing at your current upload rate.	💾 Vigae vya hifadhi huonyesha data iliyopo na kasi ya ukuaji kwa kiwango chako cha upakiaji.
settings	⏱️ Auto-refresh, presentation seconds, sales targets, the assignment rotation and the restructuring policy all live here.	⏱️ Auto-refresh, sekunde za onyesho, malengo ya mauzo, mzunguko wa ugawaji na sera ya kupanga upya vyote viko hapa.
settings	✉️ Set ADMIN_EMAIL here so the weekly Exp.Def report has somewhere to go.	✉️ Weka ADMIN_EMAIL hapa ili ripoti ya wiki ya Exp.Def iwe na pa kwenda.
calls	☎️ Five views of the same week: by category, by outcome, by team, by day and by officer.	☎️ Mitazamo mitano ya wiki ileile: kwa aina, kwa matokeo, kwa timu, kwa siku na kwa afisa.
calls	🎯 Portfolio % is the number that matters — 80 calls mean little if none were to customers who owe money.	🎯 Portfolio % ndiyo tarakimu muhimu — simu 80 hazina maana kama hakuna iliyokwenda kwa wanaodaiwa.
commission	💰 Commission is earned by PEOPLE, from two different jobs: recovery pays a % of what arrears fell by, early collection pays a flat amount per PAID/OVERPAID client.	💰 Kamisheni hupatikana na WATU, kutoka kazi mbili: urejeshaji hulipa % ya kupungua kwa deni, ukusanyaji wa mapema hulipa kiasi kamili kwa kila mteja wa PAID/OVERPAID.
commission	📅 Both are summed day by day — a customer who recovered on Tuesday earned Tuesday's commission even if they slipped back on Thursday.	📅 Zote hujumlishwa siku kwa siku — mteja aliyerejesha Jumanne alileta kamisheni ya Jumanne hata kama alirudi nyuma Alhamisi.
commission	⚙️ ADMINs set the rates right on this page — type them and the numbers move immediately.	⚙️ ADMIN hupanga viwango hapahapa — viandike na tarakimu hubadilika mara moja.
